subj_id,gender,age,sampling,baserate,sampling,baserate,Old2,Old3,Old4,Old5,Old6,Old7,Old8,R1,R2,R3,R4,R5,R6,R7,turkcode
319,male,24,category,small,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,796951
325,male,30,category,small,1,2,5,7,8,2,0,0,0,6,8,9,3,1,1,1,255547
333,male,20,category,small,1,2,7,4,2,1,0,0,0,8,5,3,2,1,1,1,404500
334,male,30,category,small,1,2,8,8,8,1,1,0,0,9,9,9,2,2,1,1,419499
337,female,33,category,small,1,2,7,7,1,1,0,0,0,8,8,2,2,1,1,1,952315
340,female,29,category,small,1,2,8,8,8,4,7,5,4,9,9,9,5,8,6,5,529071
341,male,39,category,small,1,2,8,8,7,1,3,4,1,9,9,8,2,4,5,2,410936
347,male,38,category,small,1,2,9,9,9,9,8,8,8,10,10,10,10,9,9,9,366111
348,female,29,category,small,1,2,7,7,7,6,6,6,6,8,8,8,7,7,7,7,218557
351,female,45,category,small,1,2,9,9,9,9,9,5,5,10,10,10,10,10,6,6,295531
352,male,47,category,small,1,2,8,8,8,8,7,7,7,9,9,9,9,8,8,8,810352
354,male,34,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,817925
356,female,35,category,small,1,2,8,7,6,8,4,7,5,9,8,7,9,5,8,6,366725
363,female,39,category,small,1,2,9,8,7,6,7,4,4,10,9,8,7,8,5,5,124264
364,male,42,category,small,1,2,9,8,8,5,2,3,2,10,9,9,6,3,4,3,438512
371,male,28,category,small,1,2,8,8,8,7,8,7,7,9,9,9,8,9,8,8,948967
376,male,37,category,small,1,2,9,9,9,9,9,5,5,10,10,10,10,10,6,6,314461
377,female,37,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,573920
383,male,31,category,small,1,2,9,9,7,7,7,6,9,10,10,8,8,8,7,10,617425
387,male,32,category,small,1,2,9,8,8,9,8,7,5,10,9,9,10,9,8,6,238566
388,female,26,category,small,1,2,1,6,3,9,9,9,8,2,7,4,10,10,10,9,490560
392,female,23,category,small,1,2,7,7,7,4,4,4,4,8,8,8,5,5,5,5,846290
399,male,30,category,small,1,2,9,9,5,1,1,0,0,10,10,6,2,2,1,1,106237
401,male,28,category,small,1,2,3,5,9,7,2,4,0,4,6,10,8,3,5,1,817199
402,female,34,category,small,1,2,9,9,5,9,9,5,5,10,10,6,10,10,6,6,999626
407,male,31,category,small,1,2,9,9,9,9,7,7,7,10,10,10,10,8,8,8,617227
409,male,26,category,small,1,2,9,9,9,8,0,6,0,10,10,10,9,1,7,1,291116
415,male,52,category,small,1,2,9,9,8,7,4,1,4,10,10,9,8,5,2,5,396662
420,male,33,category,small,1,2,5,9,7,6,8,6,7,6,10,8,7,9,7,8,337545
422,female,26,category,small,1,2,6,8,4,2,1,1,2,7,9,5,3,2,2,3,692802
423,female,33,category,small,1,2,8,6,7,7,8,8,8,9,7,8,8,9,9,9,125068
7,male,44,property,large,2,1,9,6,3,3,1,0,1,10,7,4,4,2,1,2,269835
15,male,76,property,large,2,1,9,9,9,9,0,0,0,10,10,10,10,1,1,1,407501
22,male,45,property,large,2,1,2,2,2,2,0,0,0,3,3,3,3,1,1,1,508621
27,male,25,property,large,2,1,9,9,9,9,9,9,0,10,10,10,10,10,10,1,118550
28,female,22,property,large,2,1,9,9,7,1,0,0,0,10,10,8,2,1,1,1,906598
33,female,43,property,large,2,1,4,4,4,5,3,4,2,5,5,5,6,4,5,3,947479
39,male,29,property,large,2,1,7,6,3,7,3,2,4,8,7,4,8,4,3,5,747892
40,female,31,property,large,2,1,8,8,7,4,5,3,4,9,9,8,5,6,4,5,132708
43,female,25,property,large,2,1,9,9,7,7,6,3,1,10,10,8,8,7,4,2,182298
44,female,54,property,large,2,1,9,8,8,1,2,9,0,10,9,9,2,3,10,1,829705
46,female,62,property,large,2,1,6,7,7,2,2,1,0,7,8,8,3,3,2,1,653105
48,male,30,property,large,2,1,9,9,4,2,1,1,0,10,10,5,3,2,2,1,502301
53,female,48,property,large,2,1,8,6,4,2,1,0,0,9,7,5,3,2,1,1,590046
60,male,61,property,large,2,1,6,6,8,0,0,0,0,7,7,9,1,1,1,1,159554
61,male,33,property,large,2,1,9,7,6,6,6,6,6,10,8,7,7,7,7,7,341052
64,male,51,property,large,2,1,9,1,2,1,0,0,0,10,2,3,2,1,1,1,600348
65,female,43,property,large,2,1,8,6,6,6,4,3,1,9,7,7,7,5,4,2,398167
68,female,43,property,large,2,1,3,3,3,3,3,0,0,4,4,4,4,4,1,1,230741
73,male,31,property,large,2,1,9,9,6,3,3,1,0,10,10,7,4,4,2,1,988900
77,male,26,property,large,2,1,9,7,9,6,4,4,4,10,8,10,7,5,5,5,258490
79,male,34,property,large,2,1,9,8,0,1,0,0,0,10,9,1,2,1,1,1,846238
80,male,41,property,large,2,1,6,6,6,4,3,1,1,7,7,7,5,4,2,2,195987
83,female,24,property,large,2,1,8,8,5,1,1,1,1,9,9,6,2,2,2,2,409570
86,male,27,property,large,2,1,4,4,4,2,1,2,2,5,5,5,3,2,3,3,397743
96,female,28,property,large,2,1,0,2,0,0,0,0,0,1,3,1,1,1,1,1,371387
98,female,35,property,large,2,1,8,8,3,1,1,1,1,9,9,4,2,2,2,2,673594
99,female,32,property,large,2,1,9,9,7,6,3,2,0,10,10,8,7,4,3,1,323996
102,male,30,property,large,2,1,3,6,6,3,0,0,0,4,7,7,4,1,1,1,880612
107,male,35,property,large,2,1,8,8,5,2,0,0,0,9,9,6,3,1,1,1,804770
108,male,28,property,large,2,1,8,7,7,3,1,1,0,9,8,8,4,2,2,1,703980
111,female,34,property,large,2,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,523464
116,female,62,property,large,2,1,5,6,6,5,3,2,2,6,7,7,6,4,3,3,371164
121,female,35,property,large,2,1,9,8,6,3,3,3,2,10,9,7,4,4,4,3,273642
127,male,29,property,large,2,1,8,6,1,0,0,0,0,9,7,2,1,1,1,1,191864
129,female,29,property,large,2,1,8,6,3,2,3,2,0,9,7,4,3,4,3,1,867845
131,male,38,property,large,2,1,9,9,5,7,5,1,2,10,10,6,8,6,2,3,381929
135,male,53,property,large,2,1,8,7,4,1,1,1,1,9,8,5,2,2,2,2,767796
146,female,57,property,large,2,1,2,6,5,7,6,5,7,3,7,6,8,7,6,8,974171
147,male,28,property,large,2,1,1,4,5,2,6,6,7,2,5,6,3,7,7,8,912210
155,male,33,property,large,2,1,8,7,5,1,1,1,0,9,8,6,2,2,2,1,218631
158,female,24,property,large,2,1,3,5,5,5,0,0,0,4,6,6,6,1,1,1,365075
162,female,41,property,large,2,1,8,8,1,2,0,1,0,9,9,2,3,1,2,1,627991
164,male,26,property,large,2,1,8,2,2,1,0,0,4,9,3,3,2,1,1,5,534646
166,male,46,property,large,2,1,8,8,1,1,1,1,1,9,9,2,2,2,2,2,452201
167,male,41,property,large,2,1,7,3,4,0,0,0,0,8,4,5,1,1,1,1,777178
170,male,22,property,large,2,1,7,9,9,6,2,0,0,8,10,10,7,3,1,1,912753
175,female,39,property,large,2,1,9,9,0,0,0,0,0,10,10,1,1,1,1,1,864992
181,male,31,property,large,2,1,7,9,1,5,1,0,0,8,10,2,6,2,1,1,340199
182,male,56,property,large,2,1,2,7,8,8,7,6,5,3,8,9,9,8,7,6,305437
195,male,32,property,large,2,1,6,7,5,4,2,2,2,7,8,6,5,3,3,3,136769
201,male,26,property,large,2,1,6,7,6,6,6,6,6,7,8,7,7,7,7,7,167254
203,male,27,property,large,2,1,9,9,5,4,3,3,1,10,10,6,5,4,4,2,290461
206,female,31,property,large,2,1,9,7,7,4,1,2,0,10,8,8,5,2,3,1,659537
216,female,45,property,large,2,1,8,9,2,2,2,1,1,9,10,3,3,3,2,2,380917
217,female,33,property,large,2,1,8,8,8,5,5,0,0,9,9,9,6,6,1,1,196428
218,male,20,property,large,2,1,8,8,5,2,2,1,1,9,9,6,3,3,2,2,638199
220,male,30,property,large,2,1,5,5,3,2,2,2,1,6,6,4,3,3,3,2,862278
221,male,51,property,large,2,1,9,7,4,2,3,1,0,10,8,5,3,4,2,1,490869
222,female,30,property,large,2,1,8,8,7,1,1,1,0,9,9,8,2,2,2,1,633199
226,male,28,property,large,2,1,9,7,2,1,0,0,0,10,8,3,2,1,1,1,432163
227,female,21,property,large,2,1,8,5,3,1,0,1,0,9,6,4,2,1,2,1,930000
234,female,23,property,large,2,1,1,6,6,4,4,2,0,2,7,7,5,5,3,1,668788
236,male,35,property,large,2,1,8,6,5,3,5,4,3,9,7,6,4,6,5,4,825682
237,male,51,property,large,2,1,8,6,4,2,2,1,0,9,7,5,3,3,2,1,913113
247,male,39,property,large,2,1,7,6,4,3,3,3,0,8,7,5,4,4,4,1,735877
248,female,30,property,large,2,1,7,5,5,5,5,6,5,8,6,6,6,6,7,6,922805
251,female,36,property,large,2,1,7,7,7,7,6,7,3,8,8,8,8,7,8,4,419749
252,male,19,property,large,2,1,4,5,4,6,4,3,7,5,6,5,7,5,4,8,846595
253,female,57,property,large,2,1,8,7,1,2,1,0,0,9,8,2,3,2,1,1,932470
254,female,32,property,large,2,1,9,9,5,1,0,1,0,10,10,6,2,1,2,1,838670
259,female,46,property,large,2,1,7,9,6,5,1,3,3,8,10,7,6,2,4,4,938044
269,female,55,property,large,2,1,8,8,7,7,4,6,2,9,9,8,8,5,7,3,958372
271,male,34,property,large,2,1,9,8,9,9,9,3,1,10,9,10,10,10,4,2,579338
277,female,29,property,large,2,1,9,8,1,0,0,0,0,10,9,2,1,1,1,1,760573
281,male,39,property,large,2,1,6,7,5,1,3,0,1,7,8,6,2,4,1,2,600568
282,male,24,property,large,2,1,3,6,4,5,5,2,0,4,7,5,6,6,3,1,859778
285,female,27,property,large,2,1,1,2,1,5,8,8,8,2,3,2,6,9,9,9,438064
288,female,38,property,large,2,1,8,7,4,3,1,1,1,9,8,5,4,2,2,2,812824
290,female,42,property,large,2,1,7,7,1,0,0,0,0,8,8,2,1,1,1,1,771146
297,female,44,property,large,2,1,7,4,3,1,1,0,1,8,5,4,2,2,1,2,351888
300,female,29,property,large,2,1,3,6,4,4,1,4,1,4,7,5,5,2,5,2,293665
301,male,34,property,large,2,1,8,8,7,4,1,1,1,9,9,8,5,2,2,2,573706
313,female,34,property,large,2,1,7,7,1,1,1,1,1,8,8,2,2,2,2,2,156750
316,female,21,property,large,2,1,6,5,4,2,3,2,2,7,6,5,3,4,3,3,319609
318,female,30,property,large,2,1,6,6,6,6,2,1,1,7,7,7,7,3,2,2,788667
320,male,23,property,large,2,1,7,7,2,2,1,1,0,8,8,3,3,2,2,1,482248
330,female,50,property,large,2,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,451585
332,male,28,property,large,2,1,6,8,5,1,0,0,0,7,9,6,2,1,1,1,306154
